Title,Rank,Studio,Gross,Year
Get Out,570,Universal,255.4,2017
Cliffhanger,571,TriStar,255.0,1993
Us,572,Universal,254.7,2019
Kung Fu Yoga,573,WGUSA,254.2,2017
Baahubali 2: The Conclusion,574,GrtIndia,254.2,2017
Babe,575,Universal,254.1,1995
Wild Hogs,576,Buena Vista,253.6,2007
High School Musical 3: Senior Year,577,Buena Vista,252.9,2008
Hercules,578,Buena Vista,252.7,1997
True Grit,579,Paramount,252.3,2010
Bean,580,Polygram,251.2,1997
American Hustle,581,Sony,251.2,2013
You've Got Mail,582,Warner Brothers,250.8,1998
Enemy of the State,583,Buena Vista,250.6,1998
Brother Bear,584,Buena Vista,250.4,2003
The Mask of Zorro,585,Sony,250.3,1998
Eragon,586,Fox,249.5,2006
The Ring,587,Dreamworks,249.3,2002
The Blair Witch Project,588,Artisan,248.6,1999
Unbreakable,589,Buena Vista,248.1,2000
Dumb and Dumber,590,New Line,247.3,1994
Glass,591,Universal,247.0,2019
Grown Ups 2,592,Sony,247.0,2013
Love Actually,593,Universal,246.9,2003
Journey to the West: The Demons Strike Back,594,Sony,246.6,2017
The Peanuts Movie,595,Fox,246.2,2015
Rango,596,Paramount,245.7,2011
Four Weddings and a Funeral,597,Polygram,245.7,1994
Face/Off,598,Paramount,245.7,1997
Teenage Mutant Ninja Turtles: Out of the Shadows,599,Paramount,245.6,2016
Dark Shadows,600,Warner Brothers,245.5,2012
Hulk,601,Universal,245.4,2003
Bienvenue chez les Ch'tis,602,Pathe,245.1,2008
Dark Phoenix,603,Fox,245.1,2019
The Godfather,604,Paramount,245.1,1972
Pixels,605,Sony,244.9,2015
Hercules,606,Paramount,244.8,2014
Back to the Future Part III,607,Universal,244.5,1990
Rush Hour,608,New Line,244.4,1998
After Earth,609,Sony,243.8,2013
A Few Good Men,610,Columbia,243.2,1992
Cloudy with a Chance of Meatballs,611,Sony,243.0,2009
8 Mile,612,Universal,242.9,2002
Daddy's Home,613,Paramount,242.8,2015
Marley and Me,614,Fox,242.7,2008
RoboCop,615,Sony,242.7,2014
Eraser,616,Warner Brothers,242.3,1996
Journey to the Center of the Earth,617,Warner Brothers,242.0,2008
Assassin's Creed,618,Fox,240.9,2016
Alien: Covenant,619,Fox,240.9,2017
Sully,620,Warner Brothers,240.8,2016
Die Hard 2: Die Harder,621,Fox,240.0,1990
Resident Evil: Retribution,622,Sony,240.0,2012
Crocodile Dundee II,623,Paramount,239.6,1988
Planes,624,Buena Vista,239.3,2013
Crazy Rich Asians,625,Warner Brothers,238.5,2018
Batman and Robin,626,Warner Brothers,238.2,1997
Click,627,SonR,237.7,2006
Gulliver's Travels,628,Fox,237.4,2010
Gone in 60 Seconds,629,Buena Vista,237.2,2000
Saturday Night Fever,630,Paramount,237.1,1977
Silver Linings Playbook,631,Weinstein,236.4,2012
2 Fast 2 Furious,632,Universal,236.4,2003
Howl's Moving Castle,633,Buena Vista,236.0,2005
Hidden Figures,634,Fox,236.0,2016
A.I. Artificial Intelligence,635,Warner Brothers,235.9,2001
Dead Poets Society,636,Buena Vista,235.9,1989
Spy,637,Fox,235.7,2015
American Pie,638,Universal,235.5,1999
American Reunion,639,Universal,235.0,2012
Big Daddy,640,Sony,234.8,1999
Alvin and the Chipmunks: The Road Chip,641,Fox,234.8,2015
The Imitation Game,642,Weinstein,233.6,2014
The Day the Earth Stood Still,643,Fox,233.1,2008
The Girl with the Dragon Tattoo,644,Sony,232.6,2011
Argo,645,Warner Brothers,232.3,2012
The English Patient,646,Miramax,232.0,1996
Sister Act,647,Buena Vista,231.6,1992
American Wedding,648,Universal,231.4,2003
Juno,649,Fox,231.4,2007
Constantine,650,Warner Brothers,230.9,2005
Get Smart,651,Warner Brothers,230.7,2008
Space Jam,652,Warner Brothers,230.4,1996
The Heat,653,Fox,229.9,2013
Mr. Bean's Holiday,654,Universal,229.7,2007
Life Is Beautiful,655,Miramax,229.2,1998
Ghostbusters,656,Sony,229.1,2016
Ghost Rider,657,Sony,228.7,2007
Goodbye Mr. Loser,658,CL,228.1,2015
Sleepless in Seattle,659,TriStar,227.9,1993
Lethal Weapon 2,660,Warner Brothers,227.9,1989
The Green Hornet,661,Sony,227.8,2011
Out of Africa,662,Universal,227.5,1985
Paddington 2,663,Warner Brothers,227.3,2018
Baby Driver,664,TriStar,226.9,2017
Immortals,665,Rela.,226.9,2011
Taken,666,Fox,226.8,2009
Percy Jackson & The Olympians: The Lightning Thief,667,Fox,226.5,2010
Hansel and Gretel: Witch Hunters,668,Paramount,226.3,2013
Good Will Hunting,669,Miramax,225.9,1997
The Secret Life of Pets 2,670,Universal,225.9,2019
Valerian and the City of a Thousand Planets,671,Lionsgate,225.9,2017
The Social Network,672,Sony,224.9,2010
Chicken Run,673,Dreamworks,224.8,2000
Con Air,674,Buena Vista,224.0,1997
Interview with the Vampire,675,Warner Brothers,223.7,1994
Flightplan,676,Buena Vista,223.4,2005
Yes Man,677,Warner Brothers,223.2,2008
Non-Stop,678,Universal,222.8,2014
"Honey, I Shrunk the Kids",679,Buena Vista,222.7,1989
Fahrenheit 9/11,680,Lions,222.4,2004
Jumper,681,Fox,222.2,2008
Wild Wild West,682,Warner Brothers,222.1,1999
Geostorm,683,Warner Brothers,221.6,2017
Presumed Innocent,684,Warner Brothers,221.3,1990
Elf,685,New Line,220.9,2003
Men in Black International,686,Sony,220.8,2019
Scary Movie 3,687,Dimension,220.7,2003
Inferno,688,Sony,220.0,2016
Green Lantern,689,Warner Brothers,219.9,2011
The Terminal,690,Dreamworks,219.4,2004
What Happens in Vegas,691,Fox,219.4,2008
It's Complicated,692,Universal,219.1,2009
Knocked Up,693,Universal,219.1,2007
Captain Phillips,694,Sony,218.8,2013
The Prince of Egypt,695,Dreamworks,218.6,1998
Jack Reacher,696,Paramount,218.3,2012
The Emoji Movie,697,Sony,217.8,2017
Collateral,698,Dreamworks,217.8,2004
Dracula Untold,699,Universal,217.1,2014
Central Intelligence,700,Warner Brothers,217.0,2016
Million Dollar Baby,701,Warner Brothers,216.8,2004
Ted 2,702,Universal,216.7,2015
The Help,703,Buena Vista,216.6,2011
Twins,704,Universal,216.6,1988
Valentine's Day,705,Warner Brothers,216.5,2010
Bad Teacher,706,Sony,216.2,2011
Clear and Present Danger,707,Paramount,215.9,1994
101 Dalmatians,708,Buena Vista,215.9,1961
Bram Stoker's Dracula,709,Columbia,215.9,1992
Vertical Limit,710,Sony,215.7,2000
Ghostbusters II,711,Columbia,215.4,1989
The Patriot,712,Sony,215.3,2000
The Sorcerer's Apprentice,713,Buena Vista,215.3,2010
Just Go With It,714,Sony,214.9,2011
The Expendables 3,715,Lionsgate,214.7,2014
Dirty Dancing,716,Vestron,214.6,1987
Smallfoot,717,Warner Brothers,214.1,2018
Creed II,718,MGM,214.1,2018
Public Enemies,719,Universal,214.1,2009
The Bourne Identity,720,Universal,214.0,2002
Disclosure,721,Warner Brothers,214.0,1994
Pulp Fiction,722,Miramax,213.9,1994
The Aviator,723,Miramax,213.7,2004
"Crouching Tiger, Hidden Dragon",724,Sony,213.5,2000
Braveheart,725,Paramount,213.2,1995
Into the Woods,726,Buena Vista,213.1,2014
Bedtime Stories,727,Buena Vista,212.9,2008
Miss Congeniality,728,Warner Brothers,212.7,2000
Entrapment,729,Fox,212.4,1999
Ace Ventura: When Nature Calls,730,Warner Brothers,212.4,1995
Master and Commander: The Far Side of the World,731,Fox,212.0,2003
End of Days,732,Universal,212.0,1999
Bridget Jones's Baby,733,Universal,212.0,2016
Battle: Los Angeles,734,Sony,211.8,2011
Fury,735,Sony,211.8,2014
Due Date,736,Warner Brothers,211.8,2010
Kingdom of Heaven,737,Fox,211.7,2005
The Little Mermaid,738,Buena Vista,211.3,1989
Australia,739,Fox,211.3,2008
District 9,740,TriStar,210.8,2009
Moonraker,741,MGM,210.3,1979
The Others,742,Miramax,209.9,2001
Horrible Bosses,743,Warner Brothers,209.6,2011
Red Dragon,744,Universal,209.2,2002
Tomorrowland,745,Buena Vista,209.2,2015
Lemony Snicket's A Series of Unfortunate Events,746,Paramount,209.1,2004
Me Before You,747,Warner Brothers,208.3,2016
Safe House,748,Universal,208.1,2012
S.W.A.T.,749,Sony,207.7,2003
Traffic,750,USA,207.5,2000
The Fast and the Furious,751,Universal,207.3,2001
Paranormal Activity 3,752,Paramount,207.0,2011
Philadelphia,753,TriStar,206.7,1993
Sleepy Hollow,754,Paramount,206.1,1999
The Jungle Book,755,Buena Vista,205.8,1967
London Has Fallen,756,Focus,205.8,2016
Journey to the West,757,Magn.,205.6,2014
JFK,758,Warner Brothers,205.4,1991
White House Down,759,Sony,205.4,2013
The Ugly Truth,760,Sony,205.3,2009
The Holiday,761,Sony,205.1,2006
A Dog's Purpose,762,Universal,205.0,2017
The Break-Up,763,Universal,205.0,2006
Eat Pray Love,764,Sony,204.6,2010
King Arthur,765,Buena Vista,203.6,2004
Everest,766,Universal,203.4,2015
Vanilla Sky,767,Paramount,203.4,2001
Arrival,768,Paramount,203.4,2016
Need for Speed,769,Buena Vista,203.3,2014
Hairspray,770,New Line,202.5,2007
Ponyo,771,Buena Vista,202.4,2009
Patch Adams,772,Universal,202.3,1998
Fun with Dick and Jane,773,Sony,202.0,2005
Teenage Mutant Ninja Turtles,774,New Line,202.0,1990
Kindergarten Cop,775,Universal,202.0,1990
Straight Outta Compton,776,Universal,201.6,2015
21 Jump Street,777,Sony,201.6,2012
Yogi Bear,778,Warner Brothers,201.6,2010
Garfield: The Movie,779,Fox,200.8,2004
Cats & Dogs,780,Warner Brothers,200.7,2001
The Hunt for Red October,781,Paramount,200.5,1990
Valkyrie,782,MGM,200.3,2008
