Title,Rank,Studio,Gross,Year
Mission: Impossible - Ghost Protocol,116,Paramount,694.7,2011
The Hunger Games,117,Lionsgate,694.4,2012
Mission: Impossible - Rogue Nation,118,Paramount,682.7,2015
Forrest Gump,119,Paramount,677.9,1994
Doctor Strange,120,Buena Vista,677.7,2016
Interstellar,121,Paramount,677.5,2014
The Sixth Sense,122,Buena Vista,672.8,1999
Man of Steel,123,Warner Brothers,668.0,2013
Kung Fu Panda 2,124,Dreamworks,665.7,2011
Ice Age: The Meltdown,125,Fox,660.9,2006
Justice League,126,Warner Brothers,657.9,2017
Big Hero 6,127,Buena Vista,657.8,2014
Pirates of the Caribbean: The Curse of the Black Pearl,128,Buena Vista,654.3,2003
Fantastic Beasts: The Crimes of Grindelwald,129,Warner Brothers,653.8,2018
The Hunger Games: Mockingjay - Part 2,130,Lionsgate,653.4,2015
Star Wars: Episode II - Attack of the Clones,131,Fox,649.4,2002
Thor: The Dark World,132,Buena Vista,644.6,2013
Moana,133,Buena Vista,643.3,2016
Sing,134,Universal,634.2,2016
The Incredibles,135,Buena Vista,633.0,2004
Kung Fu Panda,136,Dreamworks,631.7,2008
The Martian,137,Fox,630.2,2015
Fast Five,138,Universal,626.1,2011
Hancock,139,Sony,624.4,2008
MIB 3,140,Sony,624.0,2012
Iron Man 2,141,Paramount,623.9,2010
Ant-Man and the Wasp,142,Buena Vista,622.7,2018
How to Train Your Dragon 2,143,Fox,621.5,2014
Ratatouille,144,Buena Vista,620.7,2007
Logan,145,Fox,619.0,2017
The Lost World: Jurassic Park,146,Universal,618.6,1997
The Passion of the Christ,147,Newmarket,611.9,2004
Mamma Mia!,148,Universal,609.9,2008
Life of Pi,149,Fox,609.0,2012
Transformers: The Last Knight,150,Paramount,605.4,2017
Madagascar: Escape 2 Africa,151,Dreamworks,603.9,2008
Casino Royale,152,Sony,599.0,2006
Tangled,153,Buena Vista,591.8,2010
War of the Worlds,154,Paramount,591.7,2005
Men in Black,155,Sony,589.4,1997
The Croods,156,Fox,587.2,2013
The Hangover Part II,157,Warner Brothers,586.8,2011
Quantum of Solace,158,Sony,586.1,2008
I Am Legend,159,Warner Brothers,585.3,2007
Iron Man,160,Paramount,585.2,2008
Ready Player One,161,Warner Brothers,582.9,2018
Operation Red Sea,162,WGUSA,579.2,2018
"Monsters, Inc.",163,Buena Vista,577.4,2001
Night at the Museum,164,Fox,574.5,2006
Fifty Shades of Grey,165,Universal,571.0,2015
Kong: Skull Island,166,Warner Brothers,566.7,2017
The Smurfs,167,Sony,563.7,2011
Cars 2,168,Buena Vista,562.1,2011
Puss in Boots,169,Dreamworks,555.0,2011
The Mermaid (Mei ren yu),170,Sony,553.8,2016
Armageddon,171,Buena Vista,553.7,1998
King Kong,172,Universal,550.5,2005
Ted,173,Universal,549.4,2012
American Sniper,174,Warner Brothers,547.4,2014
Mission: Impossible II,175,Paramount,546.4,2000
Sherlock Holmes: A Game of Shadows,176,Warner Brothers,545.4,2011
The Day After Tomorrow,177,Fox,544.3,2004
Detective Chinatown 2,178,Warner Brothers,544.1,2018
X-Men: Apocalypse,179,Fox,543.9,2016
Cinderella,180,Buena Vista,543.5,2015
Despicable Me,181,Universal,543.1,2010
Brave,182,Buena Vista,540.4,2012
World War Z,183,Paramount,540.0,2013
The Empire Strikes Back,184,Fox,538.4,1980
WALL-E,185,Buena Vista,533.3,2008
The Revenant,186,Fox,533.0,2015
Madagascar,187,Dreamworks,532.7,2005
The Meg,188,Warner Brothers,530.2,2018
Ralph Breaks the Internet,189,Buena Vista,529.3,2018
Godzilla,190,Warner Brothers,529.1,2014
Hotel Transylvania 3: Summer Vacation,191,Sony,528.6,2018
The Boss Baby,192,Fox,528.0,2017
The Simpsons Movie,193,Fox,527.1,2007
Dunkirk,194,Warner Brothers,526.9,2017
Sherlock Holmes,195,Warner Brothers,524.0,2009
Kung Fu Panda 3,196,Fox,521.2,2016
Terminator 2: Judgment Day,197,TriStar,520.9,1991
Toy Story 4,198,Buena Vista,519.8,2019
How to Train Your Dragon: The Hidden World,199,Universal,519.8,2019
Ant-Man,200,Buena Vista,519.3,2015
Meet the Fockers,201,Universal,516.6,2004
Dr. Seuss' The Grinch,202,Universal,511.6,2018
Ghost,203,Paramount,505.7,1990
Aladdin,204,Buena Vista,504.1,1992
Rio 2,205,Fox,500.1,2014
Troy,206,Warner Brothers,497.4,2004
Toy Story 2,207,Buena Vista,497.4,1999
How to Train Your Dragon,208,Dreamworks,494.9,2010
Twister,209,Warner Brothers,494.5,1996
Teenage Mutant Ninja Turtles,210,Paramount,493.3,2014
Oz The Great and Powerful,211,Buena Vista,493.3,2013
Clash of the Titans,212,Warner Brothers,493.2,2010
War for the Planet of the Apes,213,Fox,490.7,2017
Angels & Demons,214,Sony,485.9,2009
Rio,215,Fox,484.6,2011
Bruce Almighty,216,Universal,484.6,2003
Shrek,217,Dreamworks,484.4,2001
Saving Private Ryan,218,Dreamworks,482.3,1998
Rise of the Planet of the Apes,219,Fox,481.8,2011
Mr. & Mrs. Smith,220,Fox,478.2,2005
Home Alone,221,Fox,476.7,1990
Return of the Jedi,222,Fox,475.1,1983
Charlie and the Chocolate Factory,223,Warner Brothers,475.0,2005
Hotel Transylvania 2,224,Sony,474.8,2015
Indiana Jones and the Last Crusade,225,Paramount,474.2,1989
San Andreas,226,Warner Brothers,474.0,2015
Wreck-It Ralph,227,Buena Vista,471.2,2012
Jaws,228,Universal,470.7,1975
The LEGO Movie,229,Warner Brothers,469.2,2014
Bumblebee,230,Paramount,468.0,2018
The Hangover,231,Warner Brothers,467.5,2009
Star Trek Into Darkness,232,Paramount,467.4,2013
The Matrix,233,Warner Brothers,463.5,1999
Pretty Woman,234,Buena Vista,463.4,1990
Lucy,235,Universal,463.4,2014
Cars,236,Buena Vista,462.2,2006
Gladiator,237,Dreamworks,460.6,2000
X-Men: The Last Stand,238,Fox,459.4,2006
Mission: Impossible,239,Paramount,457.7,1996
National Treasure: Book of Secrets,240,Buena Vista,457.4,2007
The Last Samurai,241,Warner Brothers,456.8,2003
300,242,Warner Brothers,456.1,2007
Ocean's Eleven,243,Warner Brothers,450.7,2001
Thor,244,Paramount,449.3,2011
Pearl Harbor,245,Buena Vista,449.2,2001
Tarzan,246,Buena Vista,448.2,1999
La La Land,247,Lionsgate,446.1,2016
Alvin and the Chipmunks: The Squeakquel,248,Fox,443.1,2009
The Bourne Ultimatum,249,Universal,442.8,2007
Men in Black II,250,Sony,441.8,2002
Les Miserables,251,Universal,441.8,2012
The Exorcist,252,Warner Brothers,441.3,1973
Mrs. Doubtfire,253,Fox,441.3,1993
Terminator: Genisys,254,Paramount,440.6,2015
The Greatest Showman,255,Fox,435.0,2017
A Star is Born,256,Warner Brothers,434.9,2018
Warcraft,257,Universal,433.7,2016
Terminator 3: Rise of the Machines,258,Warner Brothers,433.4,2003
The Mummy Returns,259,Universal,433.0,2001
Die Another Day,260,MGM,432.0,2002
Cast Away,261,Fox,429.6,2000
Rampage,262,Warner Brothers,428.0,2018
Pokemon Detective Pikachu,263,Warner Brothers,427.5,2019
The Matrix Revolutions,264,Warner Brothers,427.3,2003
The Intouchables,265,Weinstein,426.6,2012
Django Unchained,266,Weinstein,425.4,2012
Beauty and the Beast,267,Buena Vista,425.0,1991
Dances with Wolves,268,Orion,424.2,1990
The Chronicles of Narnia: Prince Caspian,269,Buena Vista,419.7,2008
The Mummy,270,Universal,415.9,1999
The Chronicles of Narnia: The Voyage of the Dawn Treader,271,Fox,415.7,2010
Jason Bourne,272,Universal,415.5,2016
Sex and the City,273,Warner Brothers,415.3,2008
The Wolverine,274,Fox,414.8,2013
Kingsman: The Secret Service,275,Fox,414.4,2015
The King's Speech,276,Weinstein,414.2,2010
Night at the Museum: Battle of the Smithsonian,277,Fox,413.1,2009
Batman,278,Warner Brothers,411.5,1989
The Bodyguard,279,Warner Brothers,411.0,1992
Pacific Rim,280,Warner Brothers,411.0,2013
Kingsman: The Golden Circle,281,Fox,410.9,2017
The Mummy,282,Universal,409.2,2017
Ice Age: Collision Course,283,Fox,408.6,2016
Signs,284,Buena Vista,408.2,2002
X2: X-Men United,285,Fox,407.7,2003
Alita: Battle Angel,286,Fox,404.9,2019
Prometheus,287,Fox,403.4,2012
Gone with the Wind,288,MGM,402.4,1939
The Mummy: Tomb of the Dragon Emperor,289,Universal,401.1,2008
Tron Legacy,290,Buena Vista,400.1,2010
Mission: Impossible III,291,Paramount,397.9,2006
Snow White and the Huntsman,292,Universal,396.6,2012
Grease,293,Paramount,396.2,1978
Mamma Mia! Here We Go Again,294,Universal,395.0,2018
Twilight,295,Lionsgate,393.6,2008
Solo: A Star Wars Story,296,Buena Vista,392.9,2018
The Wolf of Wall Street,297,Paramount,392.0,2013
Superman Returns,298,Warner Brothers,391.1,2006
Robin Hood: Prince of Thieves,299,Warner Brothers,390.5,1991
Raiders of the Lost Ark,300,Paramount,389.9,1981
Independence Day: Resurgence,301,Fox,389.7,2016
Home,302,Fox,386.0,2015
Star Trek,303,Paramount,385.7,2009
Monster Hunt,304,FR,385.3,2016
Happy Feet,305,Warner Brothers,384.3,2006
Cars 3,306,Buena Vista,383.9,2017
Live Free or Die Hard,307,Fox,383.5,2007
Ice Age,308,Fox,383.3,2002
Fifty Shades Darker,309,Universal,381.5,2017
Monsters Vs. Aliens,310,Dreamworks,381.5,2009
Back to the Future,311,Universal,381.1,1985
Godzilla,312,Sony,379.0,1998
True Lies,313,Fox,378.9,1994
Mad Max: Fury Road,314,Warner Brothers,378.9,2015
Godzilla: King of the Monsters,315,Warner Brothers,378.1,2019
Slumdog Millionaire,316,Fox,377.9,2008
Taken 2,317,Fox,376.1,2012
G.I. Joe: Retaliation,318,Paramount,375.7,2013
Spider-Man: Into The Spider-Verse,319,Sony,375.5,2018
Batman Begins,320,Warner Brothers,374.2,2005
What Women Want,321,Paramount,374.1,2000
The Adventures of Tintin,322,Paramount,374.0,2011
Toy Story,323,Buena Vista,373.6,1995
X-Men Origins: Wolverine,324,Fox,373.1,2009
Penguins of Madagascar,325,Fox,373.0,2014
The Golden Compass,326,New Line,372.2,2007
Fifty Shades Freed,327,Universal,371.9,2018
Terminator Salvation,328,Warner Brothers,371.4,2009
Captain America: The First Avenger,329,Paramount,370.6,2011
Edge of Tomorrow,330,Warner Brothers,370.5,2014
There's Something About Mary,331,Fox,369.9,1998
Gone Girl,332,Fox,369.3,2014
The Fugitive,333,Warner Brothers,368.9,1993
Jurassic Park III,334,Universal,368.8,2001
My Big Fat Greek Wedding,335,IFC,368.7,2002
Hitch,336,Sony,368.1,2005
Shark Tale,337,Dreamworks,367.3,2004
Die Hard: With A Vengeance,338,Fox,366.1,1995
The Nun,339,Warner Brothers,365.6,2018
Shazam!,340,Warner Brothers,364.1,2019
Notting Hill,341,Universal,363.9,1999
A Bug's Life,342,Buena Vista,363.3,1998
Night at the Museum: Secret of the Tomb,343,Fox,363.2,2014
Fast and Furious,344,Universal,363.2,2009
Ocean's Twelve,345,Warner Brothers,362.7,2004
Noah,346,Paramount,362.6,2014
Planet of the Apes,347,Fox,362.2,2001
The Hangover Part III,348,Warner Brothers,362.0,2013
The World Is Not Enough,349,MGM,361.8,1999
Monster Hunt 2,350,Lionsgate,361.7,2018
Alvin and the Chipmunks,351,Fox,361.3,2007
The Karate Kid,352,Sony,359.1,2010
Home Alone 2: Lost in New York,353,Fox,359.0,1992
Hotel Transylvania,354,Sony,358.4,2012
Minority Report,355,Fox,358.4,2002
Your Name.,356,FUN,358.0,2017
Top Gun,357,Paramount,356.8,1986
The Legend of Tarzan,358,Warner Brothers,356.7,2016
American Beauty,359,Dreamworks,356.3,1999
Apollo 13,360,Universal,355.2,1995
Rain Man,361,MGM,354.8,1988
The Great Gatsby,362,Warner Brothers,353.6,2013
X-Men: First Class,363,Fox,353.6,2011
Basic Instinct,364,TriStar,352.9,1992
Murder on the Orient Express,365,Fox,352.8,2017
The Angry Birds Movie,366,Sony,352.3,2016
GoldenEye,367,MGM,352.2,1995
Catch Me If You Can,368,Dreamworks,352.1,2002
Dumbo,369,Buena Vista,351.8,2019
Now You See Me,370,Lionsgate,351.7,2013
Hannibal,371,MGM,351.7,2001
The Mask,372,New Line,351.6,1994
Peter Rabbit,373,Sony,351.3,2018
